model,accuracy,precision,recall,f1,roc_auc,mean_roc_auc,std_roc_auc
Stacking_ensemble,0.768,0.7759674134419552,0.757455268389662,0.7665995975855131,0.8490385653883541,,
LogisticRegression,,,,,,0.8186345171845666,0.009897951401796602
RandomForest,,,,,,0.8176788709888756,0.011442397434053021
GradientBoosting,,,,,,0.8236209436840823,0.0064491049670473075
XGBoost,,,,,,0.7960711912898171,0.00977732456053568
